time,open,high,low,close,Volume,BBPower
2012-09-07,11.03,11.1,10.83,11.03,1351.77011209,0.6075938121441915
2012-09-08,10.98,11.11,10.3,10.97,1355.12940955,-0.0006338753049774937
2012-09-09,10.97,11.04,10.84,10.98,1216.12471861,0.39088524973858796
2012-09-10,10.85,11.08,10.74,10.95,2492.0609078,0.27218735691879203
2012-09-11,10.95,11.04,10.38,11.04,4794.96358945,-0.20383940835531966
2012-09-12,11.04,11.14,10.75,11.14,2414.68753313,0.17242336426686933
2012-09-13,11.17,11.42,10.98,11.3,2138.98077277,0.5563628836573162
2012-09-14,11.26,11.7,11.05,11.5,2127.29435416,0.7411681859919845
2012-09-15,11.6,11.65,11.35,11.63,594.79395476,0.8124298737074156
2012-09-16,11.63,11.8,11.53,11.75,1287.40625221,0.9549398917492145
2012-09-17,11.75,11.88,11.58,11.85,689.94090289,0.8956627643564694
